genre,classified_genre
Acid jazz,Jazz
Acid rock,Hard rock
African hip hop,Hip hop music
Afro-soul,Soul music
Album-oriented rock,Rock music
Alternatice R&B,R&B
Alternaticve dance,Dance music
Alternative country,Country music
Alternative hip hop,Hip hop music
Alternative metal,Heavy metal music
Alternative rock,Alternative rock
American folk music,Folk music
Anti-folk,Folk music
Arabic pop music,Pop music
Arena rock,Rock music
Art pop,Pop music
Art rock,Alternative rock
Avant-garde metal,Heavy metal music
Balkan_pop,Pop music
Baroque pop,Pop music
Black metal,Heavy metal music
Blue-eyed soul,Soul music
Blues,Blues
British folk rock,Folk rock
British hip hop,Hip hop music
Britpop,Alternative rock
Bubblegum pop,Pop music
Canadian hip hop,Hip hop music
Celtic rock,Folk rock
Chicago blues,Blues
Christian alternative rock,Alternative rock
Christian country music,Country music
Christian electronic dance music,Dance music
Christian hip hop,Hip hop music
Christian metal,Heavy metal music
Christian R&B,R&B
Christian rock,Rock music
Classic female blues,Blues
Classic rock,Rock music
College rock,Alternative rock
Comedy rock,Rock music
Contemporary R&B,R&B
Country music,Country music
Country rock,Rock music
Dance music,Dance music
Dance-pop,Pop music
Dancehall,Reggae
Death metal,Heavy metal music
Deathrock,Alternative rock
Delta blues,Blues
Detroit blues,Blues
Doo-wop,Rhythm and blues
Doom metal,Heavy metal music
Dream pop,Alternative rock
Dream pop J-pop,Pop music
East Coast hip hop,Hip hop music
Electric blues,Blues
Electronic dance music,Dance music
Electronic rock,Rock music
Electropop,Pop music
Emo,Alternative rock
Eurodance,Dance music
Europop,Pop music
Experimental hip hop,Hip hop music
Experimental pop,Pop music
Experimental rock,Alternative rock
Extreme metal,Heavy metal music
Folk metal,Folk rock
Folk music,Folk music
Folk music of Ireland,Folk music
Folk music of Punjab,Folk music
Folk punk,Folk rock
Folktronica,Folk music
Freak folk,Folk music
French hip hop,Hip hop music
French pop music,Pop music
Funk metal,Heavy metal music
Garage punk,Rock music
Garage rock,Rock music
German hip hop,Hip hop music
Glam metal,Hard rock
Glam rock,Hard rock
Gospel music,Gospel music
Gothic metal,Heavy metal music
Gothic rock,Alternative rock
Groove metal,Heavy metal music
Grunge,Punk rock
Hard rock,Hard rock
Hardcore hip hop,Hip hop music
Hardcore punk,Punk rock
Heartland rock,Folk rock
Heavy metal music,Heavy metal music
Hip hop,Hip hop music
Hip hop music,Hip hop music
Indian pop,Pop music
Indie folk,Folk rock
Indie pop,Pop rock
Indie rock,Pop rock
Industrial metal,Heavy metal music
Industrial rock,Alternative rock
Intelligent dance music,Dance music
Jangle pop,Pop rock
Jazz,Jazz
Jazz fusion,Jazz
Jewish hip hop,Hip hop music
Jump blues,Blues
K-pop,Pop music
Korean hip hop,Hip hop music
Krautrock,Alternative rock
Latin hip hop,Hip hop music
Latin jazz,Jazz
Latin pop,Pop music
Louisiana blues,Blues
Lovers rock,Reggae
Math rock,Alternative rock
Medieval folk rock,Folk rock
Melodic death metal,Heavy metal music
Memphis blues,Blues
Mexican pop music,Pop music
Neoclassical metal,Heavy metal music
Neofolk,Folk music
New wave music,Pop music
Noise pop,Alternative rock
Noise rock,Alternative rock
Northern soul,Soul music
Nu jazz,Jazz
Nu metal,Alternative rock
Old-school hip hop ,Hip hop music
Operatic pop,Pop music
Outlaw country,Country music
Piedmont blues,Blues
Pinoy hip hop,Hip hop music
Pinoy rock,Rock music
Political hip hop,Hip hop music
Pop music,Pop music
Pop rock,Pop rock
Post-grunge,Alternative rock
Post-metal,Heavy metal music
Post-punk,Punk rock
Post-punk revival,Alternative rock
Post-rock,Alternative rock
Power metal,Heavy metal music
Power pop,Pop rock
Progressive metal,Heavy metal music
Progressive pop,Pop music
Progressive rock,Alternative rock
Psychedelic folk,Folk music
Psychedelic rock,Rock music
Psychedelic soul,Soul music
Pub rock (United Kingdom),Punk rock
Punk rock,Punk rock
Rap metal,Heavy metal music
Reggae,Reggae
Reggae fusion,Reggae
Reggaeton,Reggae
Rock en español,Rock music
Rock music,Rock music
Rockabilly,Rhythm and blues
Rocksteady,Reggae
Roots Reggae,Reggae
Roots rock,Folk rock
Rhythm and blues,Rhythm and blues
Shock rock,Hard rock
Shoegazing,Alternative rock
Sludge metal,Heavy metal music
Smooth jazz,Jazz
Soft rock,Rock music
Sophisti-pop,Pop music
Soul blues,Soul music
Soul music,Soul music
Southern gospel,Gospel music
Southern hip hop,Hip hop music
Southern rock,Rock music
Southern soul,Soul music
Space age pop,Pop music
Space rock,Alternative rock
Speed metal,Heavy metal music
Stoner metal,Heavy metal music
Stoner rock,Heavy metal music
Sunshine pop,Pop music
Swamp blues,Blues
Symphonic black metal,Heavy metal music
Symphonic metal,Heavy metal music
Synthpop,Pop music
Technical death metal,Heavy metal music
Teen pop,Pop music
Texas blues,Blues
Texas country music,Country music
Traditional black gospel,Gospel music
Traditional pop music,Pop music
Trash metal,Heavy metal music
Turbo-folk,Folk music
Turkish folk music,Folk music
Underground hip hop,Hip hop music
Urban contemporary gospel,Gospel music
Viking metal,Heavy metal music
Vocal Jazz,Jazz
West Coast hip hop,Hip hop music
Folk rock,Folk rock